,ep_01,ep_02,ep_03,ep_04,ep_05,ep_06,ep_07,ep_08,ep_09,ep_10,ep_11,ep_12,ep_13,ep_14,ep_15,ep_16,ep_17,ep_18,ep_19,ep_20,ep_21,ep_22,ep_23,ep_24,ep_25,ep_26,ep_27,ep_28,ep_29,ep_30,ep_31,ep_32,ep_33,ep_34,ep_35,ep_36,ep_37,ep_38,ep_39,ep_40,ep_41,ep_42,ep_43,ep_44,ep_45,ep_46,ep_47,ep_48,ep_49,ep_50
ep_11,877811.7706765664,10084.869904751866,9634.325114603176,9218.426810641024,8839.7401215399,8753.121649824656,8427.827946205634,2219.325137342025,1456.7627484171917,740.6242138525395,0.0,492964.12781863025,737280.5226441876,989203.6037686978,1276735.0841963063,1646990.7122691856,2026706.369426411,3182998.1743032327,4487944.18835878,8088347.6048232,8088347.604344845,753604.6058235364,1088027.1757620205,1486356.5819853044,1934751.6159074905,1543531.328405496,2028536.5925616631,3165410.3628059286,4747961.346432771,12007836.854574207,18755775.120489456,319555.992995043,319930.05731892434,354756.5727533574,375697.5682305285,500087.30462490016,499259.74345847755,440051.0937292968,363718.04943894956,748199.3698593207,904712.3971623044,8838.326896356568,8727.816228757709,32.167164972110754,1276735.0636917118,2026706.4727995452,8044014.250519461,1938328.8968595455,11954080.830390552,375696.63822347595
ep_12,910.4310402342315,386.55548496690716,396.6690763966949,424.7257048943361,467.2536681634601,519.1740525313902,588.9573770169874,657.7462734877921,725.8127629566919,799.4118179804576,875.8935141246069,0.0,228.78065949010758,429.373007213844,660.1021511388593,983.2106508206084,1270.2671669512404,2171.808234193381,3203.028094140915,6094.668779262291,6105.075086697395,399.11520494592884,414.1221155899027,453.959438845949,515.1128468106219,662.5033923673183,640.453474304424,757.9724224572669,959.5687170483135,1888.2603464524773,2863.4780059117597,513.4906053697975,525.4950711311759,450.076804508131,488.5059901582359,542.3370176409496,605.5525432926719,628.9094899490572,700.8022758069435,858.6480430015237,939.6714354008452,467.4478034202377,519.2896575664291,876.045507494383,660.9954710244324,1267.374865018326,6023.7212490943375,515.3029959132548,1880.9390466638808,474.4678663412856
ep_13,1028.1426599711035,250.4614547191146,236.2499947854608,253.0141094999306,295.1293305962828,351.77822250606596,431.529080824583,526.2965134602338,596.9016407070008,673.5508914446511,752.9407336387231,117.39159672143482,0.0,114.21126829020673,235.94202150555884,385.11409997328695,529.2564149349746,876.1443111974618,1270.316433504374,2362.2369458025037,2385.8634359498583,306.583307002643,304.4443229822289,347.1355042349543,427.25300797589244,844.3603366968398,719.0023328270356,877.0216004828143,1088.2936448519765,2487.5700516563356,3901.7264815705003,615.538902795718,608.4919721548843,352.07917051638015,381.1624793662771,477.20916868038125,530.6404165094727,508.4962541572675,587.9990427652539,878.0889294711058,973.0372670644836,295.4365926699099,351.94881653888217,753.1175416148242,238.42986450692644,522.276484053908,2365.715302722214,427.6647742547543,2476.54436512253,362.9965419210234
ep_14,596.950897537632,287.9454471925485,247.70335755977197,234.3450009813925,252.42150988902006,292.70952363002567,352.6543064535518,405.88807853860067,481.13089594686136,561.2292943547445,643.6806278455484,184.89774945813116,93.17179457448613,0.0,96.26420122720091,197.01457474760116,297.510217111198,467.21405370142907,650.9046327149051,1109.875753303955,1152.977181161439,232.61535122827553,178.39653020424655,170.79571979224076,219.30032068471283,339.17228342696006,370.8463746038276,500.2390643850359,680.6988012274858,1530.2153428441623,2389.6327854807123,298.46362429300365,259.24336146818973,246.96732782873673,261.0805510352858,260.8901920285232,326.29753970446814,384.7645728943122,465.94500721434775,572.5931158581416,656.1177700515623,252.86108713358655,292.8424187778624,643.9097552420001,97.86676702410567,296.9516790873594,1149.2042059430112,219.62601454136097,1523.6330900766877,240.67593948260838
ep_15,859.5210516244002,364.59806011691376,310.4822266471312,272.82573634123264,261.72749308789747,272.92614302575976,311.58202154804155,455.0315279790982,507.06902076263026,568.7109766199715,637.732731305993,301.0468561513205,202.5918692861469,104.57046261462588,0.0,117.81337979089612,230.65071280137715,514.9540637553597,758.8347987848449,1449.0845273370157,1477.6120054064497,470.8489694572592,421.8684500550547,396.0939977062057,403.25594511975424,700.8759850534933,586.9992204504716,689.5472606310029,845.8604122524234,1993.6635652579043,3172.4219484024743,642.7087035205958,612.8267628439553,452.098441326984,443.88202939828534,461.6889332939972,486.7617149230921,466.71667197642296,534.6391808156604,734.6813462609973,810.5190294226074,262.4892713846088,272.92577270987493,638.1000808534096,9.9216239343386,229.80090664039088,1476.2852407525097,403.35285739023305,1984.5260183994462,432.68151122982397
ep_16,805.2947837916477,357.27080805792383,304.4000077812514,260.3217862713326,232.14137655749104,219.63586406792786,232.89290168632823,343.6880906271373,365.6541711518551,407.8867688738159,463.07655218215564,320.37965946532216,244.06153369661743,168.8372530112027,95.5414512335674,0.0,104.17595664678463,302.00034032876295,447.6980300794523,874.5191565404115,900.9904461866207,437.19217881953256,389.75686995106963,353.043719154449,332.1013817168955,717.9311069964325,557.6082889067982,580.4609646399144,575.9944603377922,1066.6448809114863,1681.094420271416,643.7142908868241,615.1537849460161,511.7329466641696,491.1401884707691,425.68271953167437,439.9214654303376,357.9536155903213,395.5015014978059,663.5783561706305,729.403062035492,232.9034895627345,219.11903181280275,463.7485041397716,95.68068948625894,89.43520454698825,904.6662417280812,332.102398807075,1062.0227016349343,455.1547567799772
ep_17,2737.0111969277073,560.0474280270469,518.1908421807133,483.4490242788447,456.8695101352955,439.1550791997475,432.8173021129618,543.9318605401058,556.9354503106204,579.402699462905,609.4065840107423,478.6403764248654,392.3376640687993,305.7965184902801,217.0711814089863,108.846082386526,0.0,400.16593526022166,611.9767101507048,1340.4951757543504,1354.1590404196381,651.4888215055186,590.7338174401889,538.4280585687142,504.27338905665727,2586.7574974990803,1792.9389963741032,1813.0457192163847,1450.1979073941982,2142.3226880319257,3521.305551291673,1955.7195069600486,1939.3606297415129,567.830593699731,542.1349767512796,1114.7197099457117,1116.7121376431335,428.75328502418466,464.0586781792533,2056.3802548480994,2240.0970814453185,457.32643433600913,438.75258380622006,609.9036002932972,218.6196990908192,14.13622364667945,1362.8020985704004,503.81202617121926,2131.604062839229,530.7160149333139
ep_18,2655.444122652276,3690.1655739441317,3675.9046289057746,3659.412794405774,3652.461597205248,3518.7867138372058,2977.1999907474674,807.1061780329142,326.27300011416173,326.5738349156113,481.7874007151831,3775.9003873253223,3755.5613642171675,3728.8823646027913,3728.288461293262,3265.22702300376,2743.4429890899055,0.0,143.1873756360109,1204.2470422367824,1274.9926454710032,1853.4592155542523,1823.9476052593684,1801.2232480957211,1782.3347975761087,2450.093370346747,2313.319773857144,2150.4138784939764,2029.406109724923,1819.3670348942155,1932.9861848043572,2221.572436011652,2194.5683293401935,3443.409753294928,3420.123817079616,2031.3217495866618,2140.353761989772,1784.5574200326655,1795.9895809358811,2197.5533271086942,2263.4357291368674,3652.1782403035922,3285.7245904735623,526.0231262212704,3690.8610460730843,3006.2873531530377,1841.142069527944,1785.780375877741,1821.7689814154426,3116.284590646041
ep_19,5456.062647503825,3223.953952520279,3204.6158290345506,3190.3418401252884,3181.0219954338,3122.9239363736933,2794.428693258503,734.4613184051027,448.4169728906218,470.25294620284023,522.0337561441299,3298.45470477787,3270.8248922982925,3260.4945509786326,3254.631172430308,2964.62540680552,2687.178656244625,174.37811216145394,0.0,1119.456325149672,1163.8085638652121,1768.5071543732845,1730.3484469923233,1695.6961715682921,1667.9575822020852,5167.113869696987,3906.308267858188,3841.553711895128,3102.061343336965,1688.0383033135158,1872.9140960597292,4079.43493653372,4056.62880716087,2695.0497938391595,2675.5358965996184,2796.5854913420276,2827.3796609969068,1628.7181530555774,1625.7744479256567,4240.664204870267,4539.012762200548,3189.2715822975924,2984.6046458944184,552.7435028986746,3224.0737740611607,2812.386725539652,1654.1336582274446,1672.668760711495,1688.0312345320096,2441.8531337086793
ep_20,1881.3517877801107,5259.7544032534015,5255.978740237787,5246.62908711227,5232.6304786523615,5058.720074005813,4406.323068947621,1090.2137630128395,1146.5339604445076,1331.9262699764333,1342.154588222653,5329.379958361027,5322.9874440615995,5287.020347522021,5299.0279311789045,4712.612153070341,3971.878004175183,1252.622292060475,1231.8001768940183,0.0,383.343927546388,773.8893957381704,747.3593912952638,734.5955503735722,708.9801898808887,1736.058538973198,1528.7565850706592,1371.0885309048606,1179.3783700103295,653.4950567530467,664.7961529324718,1404.295308490355,1388.5259613305288,3611.4171641962803,3608.475894851705,1118.998633164964,1278.3024396798505,787.4293628470357,784.9582758757482,1409.663181952773,1491.8039100413175,5223.470574652997,4764.187862003458,1359.4125817260733,5260.303853814413,4348.77741868131,808.6113572265799,713.8174378905696,658.7014194143039,3103.872506449946
