<TRAINING LOG>
date : 20150419
Unique ID : 20150419111139
fold	cls	tt	clst	cand	no_ctrd	sigma	weight	beta_a 	beta_b	beta_a_bias	beta_b_bias	beta_a_var	beta_b_var	p_val_tr	y_min	y_max	var_max
2	0	0	1	0	2	0.092921	247811.774756	0.002572	0.195438	0.000105	0.042564	0.000002	0.015937	0.000000	0.000000	133.156569	0.138150
2	0	0	1	1	2	0.185843	484.007373	0.041861	1.022906	0.002593	0.118660	0.000129	0.141393	0.000000	0.000000	73.692584	0.138150
2	0	0	1	2	2	0.371685	0.945327	0.672499	2.303443	0.008669	0.044119	0.006832	0.127059	0.000000	0.003164	0.644502	0.138150
2	0	0	1	3	2	0.743371	0.001846	2.447464	2.332362	0.020301	0.018867	0.071514	0.062780	0.525865	0.000517	0.002606	0.138150
2	0	0	1	4	2	1.486741	0.000004	3.588574	1.880004	0.048553	0.020979	0.224368	0.047739	0.062351	0.000004	0.000007	0.138150
2	0	0	2	0	3	0.090188	216140.477693	0.025247	2.667850	0.007854	1.088905	0.000171	3.006989	0.000000	0.000000	45.791526	0.130142
2	0	0	2	1	3	0.180376	422.149370	0.113749	1.627162	0.002910	0.071565	0.000416	0.124547	0.000000	0.000000	50.933492	0.130142
2	0	0	2	2	3	0.360752	0.824510	0.733228	1.821120	0.005123	0.019331	0.006211	0.053272	0.107978	0.002319	0.576034	0.130142
2	0	0	2	3	3	0.721503	0.001610	2.387737	2.518694	0.018478	0.020110	0.062977	0.072440	0.959053	0.000663	0.003121	0.130142
2	0	0	2	4	3	1.443006	0.000003	3.215813	2.115210	0.030736	0.017743	0.134305	0.050103	0.656891	0.000005	0.000008	0.130142
2	0	0	3	0	4	0.092856	124693.185746	0.033667	1.551315	0.002861	0.218121	0.000101	0.343298	0.000000	0.000000	20.434553	0.137956
2	0	0	3	1	4	0.185712	243.541378	0.139433	1.241444	0.001658	0.029682	0.000441	0.046737	0.000000	0.000000	27.581008	0.137956
2	0	0	3	2	4	0.371424	0.475667	1.007904	1.943077	0.004765	0.012671	0.009119	0.040986	0.524145	0.002270	0.358668	0.137956
2	0	0	3	3	4	0.742848	0.000929	2.603372	2.317015	0.023277	0.020100	0.085373	0.065422	0.799269	0.000488	0.002212	0.137956
2	0	0	3	4	4	1.485695	0.000002	3.594417	2.092243	0.044192	0.021853	0.206176	0.056556	0.564036	0.000004	0.000006	0.137956
2	0	0	4	0	5	0.093065	97757.789027	0.001421	0.132078	-0.000002	0.039972	0.000000	0.007300	0.000000	0.000000	817.746016	0.138577
2	0	0	4	1	5	0.186130	190.933182	0.147047	2.238840	0.011679	0.250191	0.001593	0.608603	0.000000	0.000000	57.751125	0.138577
2	0	0	4	2	5	0.372259	0.372916	1.006290	2.090924	0.006320	0.016425	0.011090	0.053692	0.938899	0.002476	0.388649	0.138577
2	0	0	4	3	5	0.744519	0.000728	2.612125	2.387447	0.021926	0.019041	0.081459	0.063782	0.791887	0.000490	0.002217	0.138577
2	0	0	4	4	5	1.489037	0.000001	3.493867	2.009627	0.040134	0.019539	0.184137	0.049521	0.433146	0.000004	0.000006	0.138577
2	1	0	0	0	1	0.047070	225665974.996154	0.017129	0.217674	-0.000116	0.003090	0.000005	0.001561	0.000000	0.000000	20190964.647467	0.035450
2	1	0	0	1	1	0.094141	440753.857414	0.189335	0.832052	0.000775	0.008185	0.000397	0.012057	0.000000	0.000000	241056.512037	0.035450
2	1	0	0	2	1	0.188281	860.847378	1.016666	1.073419	0.003125	0.003254	0.007414	0.008024	0.003596	0.000000	740.298463	0.035450
2	1	0	0	3	1	0.376563	1.681343	1.674481	0.506183	0.025035	0.004453	0.056177	0.002532	0.000000	0.001258	1.619110	0.035450
2	1	0	0	4	1	0.753125	0.003284	1.669113	0.199268	0.057872	0.003939	0.111308	0.000652	0.000000	0.000543	0.003253	0.035450
2	1	0	1	0	2	0.050350	61540592.350965	0.047552	1.810630	0.005765	0.330440	0.000219	0.632165	0.000000	0.000000	43178936.820412	0.040562
2	1	0	1	1	2	0.100700	120196.469435	0.749512	2.602303	0.003940	0.016990	0.004515	0.059594	0.000308	0.000000	110216.678173	0.040562
2	1	0	1	2	2	0.201400	234.758729	1.340101	0.827019	0.009346	0.003388	0.021581	0.004781	0.000013	0.000000	285.277532	0.040562
2	1	0	1	3	2	0.402800	0.458513	1.633993	0.407915	0.029411	0.004206	0.062093	0.001778	0.000000	0.002375	0.802359	0.040562
2	1	0	1	4	2	0.805601	0.000896	1.649140	0.184136	0.059622	0.003757	0.112397	0.000564	0.000000	0.000380	0.001732	0.040562
2	1	0	2	0	3	0.078314	770053.082843	0.373600	1.438392	0.002857	0.017793	0.001582	0.036431	0.000000	0.000000	591086.515691	0.098129
2	1	0	2	1	3	0.156628	1504.009927	0.946847	0.805904	0.003283	0.001333	0.007701	0.003392	0.000010	0.000001	1689.024469	0.098129
2	1	0	2	2	3	0.313256	2.937519	1.600463	0.602106	0.014909	0.003079	0.034543	0.002454	0.000000	0.027545	5.053655	0.098129
2	1	0	2	3	3	0.626511	0.005737	2.000404	0.366156	0.054253	0.006119	0.128202	0.001957	0.000000	0.003851	0.012468	0.098129
2	1	0	2	4	3	1.253022	0.000011	3.349946	0.542169	0.138653	0.016095	0.515388	0.007248	0.000000	0.000021	0.000030	0.098129
2	1	0	3	0	4	0.078314	577539.812132	0.413642	1.527685	0.002957	0.017219	0.001822	0.037321	0.000000	0.000000	498716.791328	0.098129
2	1	0	3	1	4	0.156628	1128.007446	1.176225	1.026808	0.005450	0.003130	0.012889	0.006668	0.000001	0.000001	1591.900759	0.098129
2	1	0	3	2	4	0.313256	2.203140	1.752930	0.646341	0.020253	0.004416	0.049065	0.003394	0.000000	0.026411	5.303681	0.098129
2	1	0	3	3	4	0.626511	0.004303	2.064484	0.369866	0.057700	0.006433	0.139511	0.002052	0.000000	0.003351	0.013353	0.098129
2	1	0	3	4	4	1.253022	0.000008	2.847117	0.403385	0.116688	0.011298	0.368458	0.003672	0.000000	0.000020	0.000031	0.098129
2	1	0	4	0	5	0.071637	1030370.365710	0.272728	0.767036	0.000660	0.005086	0.000659	0.008368	0.000000	0.000000	776405.977743	0.082109
2	1	0	4	1	5	0.143274	2012.442121	0.994831	0.948780	0.003582	0.002254	0.008364	0.005449	0.000043	0.000000	3067.705173	0.082109
2	1	0	4	2	5	0.286547	3.930551	1.618179	0.651220	0.015894	0.003765	0.037601	0.003294	0.000000	0.016813	11.065202	0.082109
2	1	0	4	3	5	0.573095	0.007677	1.999270	0.389272	0.053382	0.006479	0.127490	0.002259	0.000000	0.005711	0.029401	0.082109
