fold,cls,tt,clst,cand,no_ctrd,sigma,weight,beta_a ,beta_b,beta_a_bias,beta_b_bias,beta_a_var,beta_b_var,p_val_tr,y_min,y_max
1,1,0,0,2,1,0.190020,792.501299,1.040471,1.106381,0.003270,0.003403,0.007764,0.008450,0.002240,0.000000,681.232678
1,1,0,0,3,1,0.380040,1.547854,1.680176,0.509369,0.025428,0.004534,0.057130,0.002572,0.000000,0.001390,1.490404
1,1,0,0,4,1,0.760079,0.003023,1.683770,0.202853,0.056694,0.003879,0.109586,0.000649,0.000000,0.000523,0.002995
1,1,0,1,0,2,0.083871,623263.943700,0.010062,0.127685,-0.000141,0.001909,0.000003,0.000980,0.000000,0.000000,241861.067615
1,1,0,1,1,2,0.167741,1217.312390,0.174661,0.815022,0.000869,0.009579,0.000370,0.013359,0.000000,0.000000,960.783495
1,1,0,1,2,2,0.335483,2.377563,1.235643,1.277904,0.003764,0.004578,0.009461,0.011744,0.000691,0.000782,2.256126
1,1,0,1,3,2,0.670965,0.004644,3.308425,0.848358,0.046694,0.008764,0.182412,0.007678,0.001040,0.000952,0.005956
1,1,0,1,4,2,1.341930,0.000009,2.785274,0.534619,0.086498,0.011404,0.274763,0.005223,0.000000,0.000009,0.000016
1,1,0,2,0,3,0.083871,415509.295800,0.376897,2.600903,0.003755,0.033569,0.001949,0.105703,0.000000,0.000000,344198.011576
1,1,0,2,1,3,0.167741,811.541593,0.892737,0.994759,0.002264,0.000755,0.005931,0.003638,0.000001,0.000012,777.024627
1,1,0,2,2,3,0.335483,1.585042,1.925067,1.061192,0.013328,0.004952,0.038623,0.007486,0.000666,0.024783,2.526099
1,1,0,2,3,3,0.670965,0.003096,2.291200,0.651479,0.032784,0.006178,0.094382,0.004320,0.000000,0.001816,0.006856
1,1,0,2,4,3,1.341930,0.000006,2.725529,0.458248,0.085544,0.009817,0.264242,0.003871,0.000000,0.000010,0.000017
1,1,0,3,0,4,0.078772,548023.678582,0.401008,2.496146,0.003424,0.028104,0.001948,0.086268,0.000000,0.000000,476543.827752
1,1,0,3,1,4,0.157543,1070.358747,0.969286,0.823587,0.003339,0.001269,0.007935,0.003321,0.000326,0.000014,1089.271435
1,1,0,3,2,4,0.315087,2.090544,2.015271,1.057198,0.014798,0.005260,0.043760,0.007632,0.000011,0.042130,4.727708
1,1,0,3,3,4,0.630174,0.004083,2.287592,0.590714,0.041843,0.007177,0.117777,0.004280,0.000000,0.003201,0.012711
1,1,0,3,4,4,1.260347,0.000008,2.561365,0.383029,0.087077,0.008687,0.251272,0.002792,0.000000,0.000017,0.000030
1,1,0,4,0,5,0.071656,1027902.408041,0.436398,2.236650,0.002609,0.018480,0.001798,0.053733,0.000000,0.000000,853563.369991
1,1,0,4,1,5,0.143312,2007.621891,1.049324,0.797488,0.004280,0.001752,0.009943,0.003633,0.002330,0.000002,2472.475037
1,1,0,4,2,5,0.286624,3.921137,1.906028,0.915479,0.016381,0.005134,0.045301,0.006255,0.000017,0.052416,11.532593
1,1,0,4,3,5,0.573247,0.007658,2.217560,0.506821,0.045950,0.006853,0.123516,0.003378,0.000000,0.006471,0.029841
1,1,0,4,4,5,1.146495,0.000015,2.651848,0.400535,0.092564,0.009431,0.276031,0.003164,0.000000,0.000041,0.000069
2,0,0,0,0,1,0.094467,427220.986128,0.018314,9.192805,0.015265,8.426373,0.000252,77.286580,0.000000,0.000000,3.698952
2,0,0,0,1,1,0.188935,834.415989,0.042574,1.975961,0.004580,0.326999,0.000175,0.645387,0.000000,0.000000,45.262563
2,0,0,0,2,1,0.377870,1.629719,0.610424,2.800378,0.010183,0.066255,0.006537,0.210992,0.000000,0.000540,0.786506
2,0,0,0,3,1,0.755739,0.003183,2.576841,2.507881,0.020108,0.019641,0.073321,0.069751,0.470643,0.000429,0.002653
2,0,0,0,4,1,1.511479,0.000006,3.625306,2.058626,0.042600,0.020363,0.200777,0.051960,0.276973,0.000004,0.000006
2,0,0,1,0,2,0.093484,234714.564858,0.002588,0.187644,0.000069,0.036207,0.000002,0.012833,0.000000,0.000000,125.463498
2,0,0,1,1,2,0.186967,458.426884,0.044209,1.024978,0.002616,0.113216,0.000140,0.136230,0.000000,0.000000,69.709136
2,0,0,1,2,2,0.373935,0.895365,0.689625,2.281945,0.008581,0.042263,0.007025,0.121756,0.000003,0.003374,0.615116
2,0,0,1,3,2,0.747869,0.001749,2.418226,2.244909,0.020063,0.018250,0.070235,0.059127,0.640479,0.000517,0.002470
2,0,0,1,4,2,1.495738,0.000003,3.559174,1.875589,0.046884,0.020476,0.215739,0.046946,0.091138,0.000004,0.000006
2,0,0,2,0,3,0.089906,222312.192538,0.022245,7.105675,0.016731,6.025199,0.000328,42.823456,0.000000,0.000000,74.332235
2,0,0,2,1,3,0.179812,434.203501,0.160226,2.907243,0.009298,0.232202,0.001369,0.675225,0.000000,0.000000,58.818962
