,ep_01,ep_02,ep_03,ep_04,ep_05,ep_06,ep_07,ep_08,ep_09,ep_10,ep_11,ep_12,ep_13,ep_14,ep_15,ep_16,ep_17,ep_18,ep_19,ep_20,ep_21,ep_22,ep_23,ep_24,ep_25,ep_26,ep_27,ep_28,ep_29,ep_30,ep_31,ep_32,ep_33,ep_34,ep_35,ep_36,ep_37,ep_38,ep_39,ep_40,ep_41,ep_42,ep_43,ep_44,ep_45,ep_46,ep_47,ep_48,ep_49,ep_50
ep_11,350770.20935810206,3149.3126534217395,2807.8888732450923,2468.808150930581,2128.0574682942765,1796.8696990139413,1463.5847845065196,1043.2356369641407,694.7479363115913,360.80342196135433,0.0,306314.7528316999,462664.9950690635,621674.2910789917,790091.3507335614,1038045.5254143677,1255684.7755023465,2021537.0107653115,2836710.1577435043,5122123.988306293,5122123.987411685,301004.29470500647,434489.63045105734,593700.6509836297,772851.0873813062,621364.4395217563,820726.4433932261,1280390.8100989086,1930518.759301572,4796342.165779615,7491078.070899564,128435.41037483659,128481.08513512935,143131.24082489303,151484.47881894463,203184.8447858375,202928.511208422,178452.06263757276,148710.54703265295,300639.00116487226,364322.29847336595,2127.862019381578,1795.577153878391,20.89154660130311,790091.354831005,1255684.777387418,5092082.401748478,774276.147259657,4773837.741212427,151484.24063755493
ep_12,1829.8215604102113,92.9669777145903,240.3104698915875,454.82838761755323,672.9771062362281,885.2429566028312,1108.3504087611577,1388.3705531068465,1577.9741917935887,1791.060502377039,2011.0958730565417,0.0,223.53622451028903,447.904654539993,682.9183730560998,905.1724899204007,1139.6709428715901,1424.5712650336484,1702.1728775895128,2203.6796450740135,2388.4895406894098,445.51384396800654,504.8762130614298,645.0319395626651,826.0099143297514,1013.7345104186803,1225.1618035601039,1454.6353208709786,1723.9561099401885,2463.171627407619,3326.9161088056417,455.23202854645876,507.84988583180393,1168.6623773510169,1271.0543905806587,996.0320661854227,1203.1584882368866,1399.402196450956,1609.3075248545995,1822.663756305169,2037.239982340819,677.9522475431487,887.0453509911808,2013.5354089541813,689.8768670627096,1136.0158164404083,2397.608129155172,826.3413460270573,2457.9816013112513,1140.6467338108
ep_13,2349.5542159331935,248.187721358959,119.06919091614364,259.22756567166437,466.43073077590833,673.5288104238335,896.4433209321512,1196.9910708903092,1378.861026730188,1589.2202202316682,1808.072303346821,222.25748178763632,0.0,222.80244259458402,460.1551494101202,674.1094110488243,905.5679818825387,1186.4270305877055,1431.323976233729,1832.3595947176252,2027.1870283865824,555.8992774963973,513.0581696518309,561.5794981611018,680.9589411852331,1811.2699518891452,1502.3756551456524,1638.735445087196,1627.8734350650498,1682.0370034247258,1958.7787176004103,1281.0789602200002,1261.3890192541269,1112.990397424714,1179.7603759371616,1036.4376933329124,1197.6676455869992,1194.848682966998,1400.7950916463312,2048.635000134893,2286.8308709308412,473.5807122791924,675.8960134303868,1810.7853783972043,470.4203960069326,900.9636213453692,2039.033566988047,681.0883397730398,1681.8788684132078,1037.9452067283075
ep_14,1418.7174671744267,456.30445522860305,253.25590380616012,137.11632573148677,277.4213770665618,462.02150467925134,680.6589689671916,975.6170231361148,1154.583927232059,1363.540211859568,1584.6572476000483,443.8712864380861,222.6605492299268,0.0,246.79437991677287,452.07423766550653,684.3628987232684,957.4853213477489,1204.453792939328,1599.9223289470242,1794.596692426392,609.0306600353192,476.9194060367942,429.2947361291322,492.44951010432953,666.5984425445176,827.3314323806112,1027.1106003245723,1261.7116953749808,1837.7687343871626,2512.1723983983716,636.6073550180928,512.0881393153638,1031.249557994942,1055.9915513620804,631.9980104812057,811.0247701925739,986.2977393591029,1188.2723529223338,1404.0069877661838,1614.9537892970352,291.74936933370014,464.19660090677115,1588.244573232186,263.9212186888512,679.4593040097602,1808.153584679841,492.58620434189567,1834.276288525129,913.6092688441968
ep_15,1506.013869279601,687.2140696667823,480.94913389422857,279.7293723356191,259.1906554497732,300.68094078474286,491.48546912095793,801.7189861418298,957.5041265248738,1152.9380424579847,1385.0127083272048,673.1100706338871,457.5964559266386,244.21085585887704,0.0,253.5690137806761,477.66645606031165,742.032216335921,967.5610764913391,1289.7985172942074,1501.589293560626,798.6045687097269,630.5035377968442,501.00493186244597,456.7631532768818,1029.8902424333785,913.4086554604022,1039.8878372601862,1127.1032040740122,1311.7880299474298,1651.5047904604555,1035.3597613966174,910.5894566587795,1082.5681088204256,1061.0565557110663,653.2442764649411,764.2707605419096,805.855980616664,995.6942033800303,1390.5443278340215,1597.4487252370668,286.20422966134805,301.01191851826974,1391.449550892343,34.68915442805503,465.91575079458426,1519.7516642062308,454.76237306780104,1312.9560615580879,920.1832721399812
ep_16,902.4758849060573,740.6471408853974,558.1227077331727,376.872975597865,201.48847071223136,77.363840317173,197.69057261522298,456.34401296257914,604.8253297838351,773.5454970520072,950.7586059543063,740.6465239453794,557.0350245010628,373.65731991996216,192.52013011657104,0.0,191.88345940383314,433.9255774818755,603.9073624723673,837.8815341296388,1004.149595021981,815.0753931280584,653.9920154629765,509.05848603596945,398.0747064340043,500.7217216828049,480.72411715346004,570.7740314651896,691.1810677698172,894.4573308808722,1153.6021169393432,854.2579973497106,702.5267135059705,608.9618681064233,517.1425684799256,389.57871598811846,440.59510943226866,512.4968929257822,658.1406316498449,862.760955657138,1031.0631768691826,201.8931493599065,74.13825692017386,950.9516150720183,192.23993981510094,186.76041207629942,1017.2800941069241,398.21599325955935,893.7059372298671,493.64520610540427
ep_17,1024.3626749555096,1280.7098288463108,1155.669690692053,1048.0781158507452,964.3918600990455,909.7674337997275,888.2427243950779,965.2043041583115,1027.9403723386602,1111.59771744981,1214.375421128025,1142.2586889974125,934.5522654316296,720.6469808809031,504.00554020377905,252.40763207056744,0.0,658.2743692171616,1199.8803751712776,2731.9671634329634,2775.237838043409,1223.3982050586912,1026.7181524348591,841.3014984252974,698.8405859455349,720.9428676836659,637.4657138726919,819.8249164886591,1387.4656642385285,4439.1496292250595,7370.387327534292,1336.6663494427744,1217.68219909923,1139.8108534012158,1057.1865276436235,915.8702034999957,902.6904096801995,919.0271682982897,998.5314766330807,1007.6484594532193,1092.1521592194529,964.4781992813226,908.1527567260733,1214.3663992329184,503.34440698452084,21.2639643153889,2790.39642493674,699.1501526867398,4414.973323050123,1038.8453211105088
ep_18,2860.2313166351055,3901.9635083505173,3303.544169327412,2717.979669653646,2161.8667046053215,1622.6842157897258,1090.827152079697,543.6166023190032,787.5030798998483,1346.0452006948128,1964.844327144308,3904.668294071333,3301.2247410186596,2707.9729054540667,2145.7088755731234,1517.9057836556265,934.244872093243,0.0,654.4492653643886,1475.2381167998872,2066.5077734895717,3795.9834313046395,3179.2658620791376,2567.614778114199,1965.7034584338994,2733.3914002970128,1913.8147678775128,1798.9093808686619,1561.517753148041,1438.2095168695487,2041.9856916302504,4188.67544496167,3638.3154036087594,2990.481488684848,2486.074698631619,1758.7881855405597,1410.1757830335687,677.9238775622049,935.1478995401206,2363.9086548636283,2857.7814736500104,2166.9920102012347,1582.323783530146,1974.4785049347345,2146.3737838874517,991.5530139040535,2102.6458021191756,1965.755501578682,1440.6771740908387,2356.7450573682177
ep_19,2392.176423662734,4850.322352893293,4292.708342335385,3755.7728029234618,3247.163432708105,2714.7053298875317,1993.1751440325882,800.9754515131107,218.70392605850347,682.4433121095129,1297.4006186223792,4875.481959581601,4318.550850883471,3773.5451438089462,3282.2685684047433,2563.259825164318,1803.0518810155602,631.9147137801931,0.0,905.0962233179636,1446.9039670613147,4475.273465044866,3865.1130383313985,3263.329594902278,2669.8892093496693,2853.1531375192676,2167.017904918978,1810.9388943046688,1462.061058983619,1182.3368003250555,1655.5320334864057,4696.8764373826025,4119.366422350703,3939.9808341248513,3458.262439070721,2300.335611941437,1897.5615395441544,1208.761959212022,1049.3566942163766,1914.9446163158393,2291.3743235142947,3243.5839517026784,2585.127164444073,1307.8906215985774,3272.6115396165787,1969.2376768657482,1630.5970814789837,2670.53115699241,1183.4727159121328,3304.4557922258186
ep_20,5384.313551895369,6355.701145801226,6209.787143711674,6069.269119098148,5942.714285700351,5641.625832244629,4766.370995184068,1100.3986930187966,1228.5706136303374,1478.191053874705,1510.7136776008483,6429.157746023015,6281.387790177165,6112.4606517291595,6005.630502527648,5207.905322681529,4244.439542911146,1522.4769987573195,1377.143298826944,0.0,397.5826280825378,2894.633926564966,2559.0318454741923,2231.0448900977044,1905.5352054492305,5300.481827979257,3971.6313949462633,3831.518965067094,2994.9663762295813,754.993703368263,835.1798588847132,4798.171782578109,4600.258831941118,3971.9603704741417,3785.5389437288063,2909.56489256943,2846.5277348565965,1281.9354811576184,1121.9548896448243,4140.5816911426045,4461.35790013982,5925.167994891357,5279.363348069499,1507.0279576916382,5959.201186263908,4663.236755497197,827.9888391627949,1906.6288707297192,757.1407240407017,3495.2923249430232
