,ep_01,ep_02,ep_03,ep_04,ep_05,ep_06,ep_07,ep_08,ep_09,ep_10,ep_11,ep_12,ep_13,ep_14,ep_15,ep_16,ep_17,ep_18,ep_19,ep_20,ep_21,ep_22,ep_23,ep_24,ep_25,ep_26,ep_27,ep_28,ep_29,ep_30,ep_31,ep_32,ep_33,ep_34,ep_35,ep_36,ep_37,ep_38,ep_39,ep_40,ep_41,ep_42,ep_43,ep_44,ep_45,ep_46,ep_47,ep_48,ep_49,ep_50
ep_18,303935.6290470879,57671.9128059668,57670.92889315763,57336.45892344055,58213.80291324593,57652.02808349942,57628.54619197839,5695.804764762109,1914.349561971336,1224.0846124064599,4615.201943860817,57605.37591204344,57604.126310504034,57505.2057226201,56827.22355592839,57603.8486497195,57738.081971857966,0.0,1176.9175225575334,72531.92657743601,62427.224776337905,176618.7384957245,176618.4099658509,178956.61135889494,177198.8572851833,176319.2476964053,176700.3574302478,171263.87604150586,171262.37157480893,173130.3259165978,172906.9194514517,176622.9417807614,176622.57974412365,95380.01748589326,95761.51972409703,176313.8253644727,176698.16136105568,171259.76714802062,171259.8927937847,173518.68176034928,175082.6623198138,58424.9781318254,57600.0069515271,5747.46325834986,56583.86005204045,57520.7674866435,151684.35583924592,178390.17077683628,170447.0379839548,108220.7051149188
ep_19,148865.392897862,33475.02484548489,33473.01995491198,33340.51665653549,33682.26401898379,33441.33321697787,33418.390911368544,2289.7954736613524,661.4580738964086,1280.2774351151377,1775.0979609963547,33411.85126039318,33408.447128365624,33376.06202441514,33106.61415917827,33419.18204338795,33477.62558148098,602.5642130362095,0.0,36363.40958058092,31537.314868848796,86918.31434701382,86917.45753223129,88046.52843617019,87196.7614246093,87024.41303989304,87085.04712337421,84462.37685278084,84405.70864840079,85232.4152798207,85130.1310771784,87063.00750929491,87061.62046036794,47881.448864514365,48061.98164963686,86821.90088705391,87007.13481585444,84328.93221962458,84328.8613418848,85583.28428365708,86364.64591031715,33762.56277504781,33408.84392981143,2304.8697235875998,33002.47122821054,33369.2961267868,74881.53925937437,87772.32824650897,83936.6298917444,54009.07234520786
ep_20,25728.368585124983,23140.534914094067,23139.727390459302,23079.24633459589,23229.402770830457,23095.656361865367,22949.031592882926,10448.11605560966,10015.655495636536,9713.73156927261,10431.466781604124,23140.212906769015,23139.001641493385,23121.94778770686,23003.384528930786,22997.990591014703,22888.11322653426,9832.980649422869,10015.626428180549,0.0,1281.9012027219921,11948.983260438632,11947.395485939123,12205.974657983577,12008.94094690533,12005.929846418678,12041.613514113253,11470.92572066051,11449.899951578187,11564.076028932299,11538.878766481226,12005.424130590289,12003.73297815639,4915.365792344648,4938.020627467063,11933.276691524408,12012.787410159042,11416.848355695069,11416.718185272524,11670.702881612684,11847.359517186234,23262.206481492896,23024.458399573876,10577.56395601739,22951.735256572905,22912.95455855718,9242.792124091102,12137.404431054252,11273.264796585445,5562.043524385142
ep_21,13305.584885586679,13239.239743273125,13237.640786170092,13191.847889630159,13291.407562552853,13142.02939377789,12772.178705181153,5267.843341505109,5120.804843144693,5062.03394962769,5455.453915958441,13294.728683634716,13292.433613726997,13264.128466945329,13187.691851192189,12921.977071522571,12578.674406870467,5088.265318606162,5208.772630110152,829.1139423167259,0.0,6809.876486431791,6806.72554971168,6940.763150298329,6835.141145525191,6956.966456834582,6967.026906822421,6681.8227339861305,6645.288862803369,6605.221327249036,6591.439368697531,6908.431468689077,6905.132817154099,4316.237333841203,4306.40996366507,6830.8215758336455,6917.085315274657,6588.55405505944,6587.95182821495,6740.066799387945,6837.731648028244,13310.29432000945,12979.199577867457,5543.347044320598,13141.334019943011,12734.134843573878,5436.675221340804,6899.072419506898,6458.971164138297,4382.221047938599
ep_22,31268.056344344946,185306.65122944955,185307.4879098875,185297.883533273,185319.59585194464,185037.73613908901,184852.25498422296,73097.19222193859,72244.79541197301,71851.27474118845,72629.23692358518,183615.66142502407,184599.73293406557,186105.0605133501,187987.85117779177,191713.73509037276,195648.78477151072,131671.69519038437,173491.02257513377,290593.3576221006,290790.27794149,0.0,1227.7669434904394,2709.909524170704,4229.280042734977,8045.595331784075,10995.354613406806,17100.742949817664,29423.474366873656,37620.69349817583,59988.27573781672,4604.081271695873,4245.453702125903,19857.020834658717,19811.36045495445,4365.610102639727,4755.429343194148,4517.4652370844215,4633.628862563966,7693.692021788806,7199.718931548558,185294.40897049525,184883.1374257838,72755.37090764237,187883.97548462448,195460.69575209144,283404.72882950015,4260.504474079379,37456.87520930109,16824.24549834796
ep_23,30941.558855987536,183541.7538537016,183540.74472091833,183531.26371407692,183555.47033135887,183330.94561202778,183150.1711610753,72182.35334357024,71346.20013551196,70980.36643811665,71805.35818361952,182942.69972034395,183178.81517938667,183625.13627718852,184083.23742836318,185101.32831095325,186151.6852756383,90102.31927830627,106724.9617760446,149094.82443584676,149476.4849618946,716.5423773543725,0.0,965.077436753373,1626.5323371307136,4578.369833298983,5758.062531129858,8619.8721024394,14651.600783050328,16251.525270114147,25931.53657293924,3611.391675818174,3192.893684015797,19743.659891543735,19709.83408779038,3366.3387964279755,3754.0372093655583,3377.7538248428527,3866.9635848235466,5246.894569121642,5570.236416858951,183530.04134899392,183174.90638163954,71932.93684873598,183977.1571569974,185953.99036396891,143251.00581091555,1684.0342066738078,16197.763228611282,16704.574022727193
ep_24,41093.106672051916,164552.54117333927,164548.01278172314,164534.54624694452,164560.72515917872,164318.48491199393,163957.10547084635,65357.38278440057,64720.936870705424,64484.0669912102,65305.96302844736,165319.98545739285,167719.53862622075,171117.88339321842,175555.38843039234,183839.9814386521,192433.47428105166,175606.198988678,241940.60454430638,426939.04478399793,427053.2441300507,2161.767357602884,1234.6518434284976,0.0,1267.0223180618789,30104.681092900144,25026.769506391534,30085.40954983869,42118.32846129866,25934.516603236825,42384.258606214804,22667.469927815306,22517.092010700155,20851.94229669148,20814.218023102152,14826.997189472939,14943.849349293303,6002.229193773103,6390.477349736665,24232.971218559425,26107.984399929897,164535.38072729966,164089.578415854,65424.994119730814,175452.0033618379,192366.52763217394,417669.8616198954,1229.9486585181776,25819.61753049072,18079.81200143261
ep_25,32626.26693047803,199527.9263850802,199524.0188466382,199508.58833218802,199520.7174869536,199253.96548245076,199015.3802445691,77878.84043670459,76944.63440608636,76502.4627408583,77288.04895761058,198611.68666956012,198780.54602161935,199136.00436918423,199462.78162914288,200226.12670703995,201000.03181757493,91541.74753324581,105350.36222947153,136917.90550772924,137377.3312549946,2694.029049923952,1889.721758089931,1065.851386183047,0.0,4547.405431549231,5101.685698757207,7643.695960751375,13309.948421626887,18856.118532313376,31320.348110411916,4799.97512411244,4462.009843155525,21086.202003422455,20999.46917654082,3760.5273843868586,4001.3367979024665,3815.8271218725577,4057.4379793267894,5487.717469028497,5219.86498502695,199491.30000747505,199072.91392166336,77419.16742319251,199345.7395382015,200796.82556068662,130558.17836828722,288.4623745067292,18797.67077578263,17851.449069166847
ep_26,19375.757734244748,128217.3851670003,128215.71509648583,128214.52403205054,128213.67041199334,128000.74880023893,127999.67227827938,124001.25454576971,124001.19746760305,124002.79492590173,124005.16518154411,117982.5118060067,118302.20645356436,119520.73491346021,119595.19476101594,119099.01736755733,119648.68555787718,122735.19269549803,122206.81278763061,124073.47913477401,124075.81252891912,122626.33848108929,122780.98126891318,122860.78683770663,122916.69200566286,0.0,23400.622727310925,23373.629805022723,185705.99591934533,123623.3898380774,124869.31741069566,25923.183421469414,188475.75347628773,121283.7060772186,112606.10756384007,48981.56414598823,177114.44380240954,127446.65937932351,109237.77145118905,21505.093945635334,198077.47540141497,128213.5218326069,127999.92001547974,124005.17882217748,119594.78903835725,119648.19773085845,124677.7198547922,122822.23645472071,123726.6619828553,112602.58138770779
ep_27,18332.047478465603,77768.44932541285,77764.90644308599,77762.24055902915,77760.50926742595,77608.30313588762,77607.227400824,74876.04809376429,74878.1165481184,74881.08321528033,74884.99103740975,70019.29792296427,70217.67378247286,70991.80653384895,71075.58579375736,70847.82204603631,71410.76901170344,74841.38829638564,76750.65047543697,88742.4597713387,88744.89737387311,73528.72591423453,73535.13093722834,73510.86239000528,73508.72245262137,18208.818713997025,0.0,5178.21463068305,118468.12654578015,86093.2072517181,105144.9246931688,8978.08136304824,120817.85954777071,72083.2456675799,65953.13430028655,20618.02147114211,111765.26119121353,76509.7313018727,63828.433264197614,8333.517334986327,127932.5805201002,77760.48986583787,77607.79795280386,74885.00594438042,71075.4582240697,71411.26953963951,88728.10245433624,73442.33667414599,86034.42220350716,65952.82196077848
ep_28,70028.9365293381,444320.02236995124,444316.70363825,444297.15348586027,444289.3456353751,443758.78918952914,443467.86144947354,169739.91937467977,167628.96817183733,166601.0348687645,167973.0143691458,442476.2280585963,442476.79670753115,442685.2166663425,442591.87658452254,442941.0053976589,443178.1885536437,166977.6479264954,168010.55356646434,82090.04619815457,85005.33631593602,21751.906749423353,21661.701527559173,21737.062094059504,21527.12299974664,6608.319257953029,3119.5419217482304,0.0,32512.47559830389,23757.507528574057,28383.685157886597,5855.59785115474,33566.7932787731,42350.0714013779,41397.16902420093,7331.437622851666,31054.528440202976,21866.479020769428,18563.413181984157,5256.257888457503,35381.66249350711,444219.08019782405,443462.3168599534,168209.09139206688,442348.82535740605,442595.8827385934,47395.31764969245,21594.331334768838,23730.189021125265,36074.213731045005
ep_29,99877.61645466775,456615.29024568363,456611.52483900485,456591.98886757536,456583.9028131998,455844.17061541893,455560.5189749072,187073.38917004265,185159.18714467355,184228.17667932107,185468.95754025277,446680.5477798058,446283.9199140699,446021.15079329634,445548.58815093036,445522.2364001661,445418.96849605,172388.22306721105,176832.2018736265,141696.5779958147,143403.3415402124,62223.7075115175,58163.54446450455,53547.997540647746,48394.29201745031,68490.971545701,59982.09046917252,51413.87347839217,0.0,103603.80932077923,194343.3386426071,76436.34204201527,62263.12534214058,75015.84410939699,75441.13264119675,71955.1089151643,59420.09233484348,63958.243067357726,67039.06613214477,72957.14183195552,54818.18241370855,456515.5297192249,455555.5634342533,185682.79156064932,445307.1507170697,444839.59592593694,122757.2904549513,48411.500745924866,102882.92835451773,72656.64310495976
ep_30,185893.13427588838,668932.057542389,668929.0165357562,668694.4007747816,669238.5273121612,668233.4612843206,667844.8610818306,318536.6322143813,313266.1133240622,309683.30322353926,315853.5860984187,666747.8607827864,666740.3032479145,666923.0457963394,666371.8992190332,667260.3123490125,667582.7640328552,310723.67634437705,312181.2030378465,157462.3200913559,170183.73181708212,6610.435898627801,6286.288009397478,8839.823346785986,6419.705917575072,8263.026201984074,7317.562655899354,5857.6122207257295,5695.814491770122,0.0,1196.2757884700309,8465.026758436388,8012.859120913668,109053.12693597922,108495.58277494293,6167.210360520397,6499.77118473185,4130.840486715737,3321.1714626149837,7832.421034603387,6538.671941066214,669284.4840857818,667830.0959182603,317036.68225140567,665918.4525374237,666747.3884516356,42465.015581493135,7923.661765293978,3741.394180418733,90945.053177245
ep_31,31238.5348610678,268771.6793322086,268763.2023186844,268762.67691034824,268702.1451916323,268395.28980239434,268140.12105153076,95255.67536174745,94215.12422848218,93838.95807601737,94189.95504031818,268094.47671657155,268058.79297995893,268192.8152174332,268185.43037340057,268280.96133445,268344.2994011839,94199.7577833182,94635.96486270294,41005.015140472875,41835.78079548952,5166.735929444189,4689.262518446621,4306.8783198635965,3775.8917109564272,10329.470735618406,7833.503088559986,7629.433936212654,6224.566281854054,958.4851240350783,0.0,9112.289207210531,8831.943433199578,16163.455846570807,16003.69502782133,5925.5907150176245,5820.460895569286,3238.482765760875,2783.2394096731173,8461.960573137298,8840.032449968103,268644.3732661896,268182.91280609346,94234.38674564943,268041.85851191526,268018.12404635904,21788.15776185433,3826.706096501529,1062.8384650955863,13627.88408422514
ep_32,30939.835651833688,185108.52874166716,185109.4764758504,185097.7985156544,185115.29794423573,184883.94545676405,184689.71088998942,72521.35359686072,71628.70627641307,71192.52803248452,71933.17088739183,184592.95038463146,184581.58528550065,184825.43659040052,185031.89711059557,185416.0592332931,185802.71440592685,78869.6567838951,86474.48068679076,94917.60894961351,95518.78736622828,2421.982893182453,3579.726983551101,5182.977485070928,6968.687794948285,5785.360103457665,7898.648650925935,12720.289656806977,19878.93725475047,47825.44793264841,75273.5590925611,0.0,1314.255597764076,19612.897262098533,19582.55552579905,2348.6388285545713,3038.1478667376814,3499.3553979157177,4218.046234337304,4968.262844370275,5611.518804655368,185090.0832621246,184729.21803705505,72060.52326843776,184926.36102462353,185604.64779184049,88532.04670965552,6995.453256333302,47621.01424022833,16554.205339838918
