    NO  S V  AOA    FREQ    B  FMOP  AMP      TOA      PMOP  PW         dTOA  
   118  0 1  94.57  9923.50 2   0.0 -34.7    131522250   0   1300      1029500
   119  0 1  95.27  9928.00 2   0.0 -35.0    132532600   0   1350      1010350
   120  0 1  95.62  9937.00 2   0.0 -35.6    134482750   0   1350      1950150
   121  0 1  94.92  9944.50 2   0.0 -35.9    135483200   0   1350      1000450
   122  0 1  95.62  9953.50 2   0.0 -36.3    136493450   0   1150      1010250
   123  0 1  95.27  9964.00 2   0.0 -36.6    137513900   0   1100      1020450
   124  0 1  95.62  9973.00 2   0.0 -36.9    138504300   0   1500       990400
   125  0 1  94.22  9985.00 2   0.0 -37.2    139516600   0   1050      1012300
   126  0 1  94.92  9994.00 2   0.0 -37.5    140532850   0   1050      1016250
   127  0 1  95.62 10006.00 2   0.0 -38.1    141562350   0   1400      1029500
   128  0 1  94.57 10015.00 2   0.0 -38.4    142572100   0   1500      1009750
   129  0 1  94.57 10036.00 2   0.0 -39.1    144521400   0   1500      1949300
   130  0 1  94.22 10043.50 2   0.0 -39.7    145521300   0   1450       999900
   131  0 1  95.27 10052.50 2   0.0 -40.0    146531500   0   1400      1010200
   132  0 1  95.27 10061.50 2   0.0 -40.3    147551350   0   1350      1019850
   133  0 1  94.92 10067.50 2   0.0 -40.9    148541300   0   1050       989950
   134  0 1  94.57 10070.50 2   0.0 -41.3    149553050   0   1500      1011750
   135  0 1  95.27 10075.00 2   0.0 -41.6    150568750   0   1100      1015700
   136  0 1  94.92 10078.00 2   0.0 -42.2    151598800   0   1200      1030050
   137  0 1  94.22 10078.00 2   0.0 -42.5    152608500   0   1450      1009700
   138  0 1  94.92 10076.50 2   0.0 -43.4    154558050   0   1450      1949550
   139  0 1  94.57 10075.00 2   0.0 -44.1    155558000   0   1300       999950
   140  0 1  95.62 10069.00 2   0.0 -44.4    156568400   0   1150      1010400
   141  0 1  94.92 10063.00 2   0.0 -45.0    157588050   0   1200      1019650
   142  0 1  94.22 10055.50 2   0.0 -45.6    158578450   0   1300       990400
   143  0 1  95.27 10048.00 2   0.0 -45.9    159590000   0   1300      1011550
   144  0 1  95.27 10037.50 2   0.0 -46.6    160605600   0   1150      1015600
   145  0 1  95.62 10028.50 2   0.0 -46.9    161635200   0   1450      1029600
   146  0 1  94.22 10018.00 2   0.0 -47.5    162645250   0   1300      1010050
   147  0 1  94.57  9998.50 2   0.0 -48.4    164595500   0   1400      1950250
   148  0 1  94.22  9986.50 2   0.0 -49.1    165595850   0   1400      1000350
   149  0 1  95.27  9976.00 2   0.0 -49.7    166605600   0   1500      1009750
   150  0 1  94.92  9967.00 2   0.0 -50.3    167625650   0   1150      1020050
   151  0 1  95.62  9956.50 2   0.0 -50.6    168615750   0   1200       990100
   152  0 1  95.27  9949.00 2   0.0 -51.3    169627950   0   1300      1012200
   153  0 1  95.27  9940.00 2   0.0 -51.9    170644050   0   1300      1016100
   154  0 1  94.22  9934.00 2   0.0 -52.5    171674000   0   1250      1029950
   155  0 1  94.92  9928.00 2   0.0 -53.1    172683500   0   1400      1009500
   156  0 1  94.92  9922.00 2   0.0 -54.1    174634050   0   1200      1950550
   157  0 1  94.92  9919.00 2   0.0 -54.7    175634050   0   1150      1000000
   158  0 1  94.22  9920.50 2   0.0 -55.3    176644250   0   1500      1010200
   159  0 1  95.27  9922.00 2   0.0 -55.9    177664700   0   1100      1020450
   160  0 1  94.92  9923.50 2   0.0 -56.6    178655150   0   1450       990450
   161  0 1  94.57  9928.00 2   0.0 -57.2    179667200   0   1500      1012050
   162  0 1  95.27  9932.50 2   0.0 -57.5    180682750   0   1150      1015550
   163  0 1  95.62  9940.00 2   0.0 -58.1    181712500   0   1200      1029750
   164  0 1  94.92  9949.00 2   0.0 -58.8    182722650   0   1150      1010150
   165  0 1  94.57  9965.50 2   0.0 -60.0    184673300   0   1100      1950650
   166  0 1  94.57  9974.50 2   0.0 -60.6    185673450   0   1500      1000150
   167  0 1  94.22  9985.00 2   0.0 -61.3    186683150   0   1500      1009700
   168  0 1  94.92  9995.50 2   0.0 -61.9    187703100   0   1400      1019950
   169  0 1  94.22 10006.00 2   0.0 -62.5    188693050   0   1300       989950
   170  0 1  95.62 10016.50 2   0.0 -63.1    189705250   0   1400      1012200
   171  0 1  95.62 10027.00 2   0.0 -63.8    190721650   0   1200      1016400
   172  0 1  95.62 10036.00 2   0.0 -64.4    191751300   0   1300      1029650
   173  0 1  94.57 10045.00 2   0.0 -65.0    192761650   0   1350      1010350
   174  0 1  94.22 10061.50 2   0.0 -66.3    194711750   0   1150      1950100
   175  0 1  95.27 10067.50 2   0.0 -66.9    195711700   0   1250       999950
   176  0 1  94.22 10072.00 2   0.0 -67.5    196722050   0   1500      1010350
   177  0 1  94.22 10078.00 2   0.0 -68.1    197741550   0   1200      1019500
   178  0 1  95.27 10078.00 2   0.0 -68.8    198731450   0   1050       989900
   179  0 1  94.92 10078.00 2   0.0 -69.4    199743700   0   1100      1012250
